date,IBM,AAPL,JPM,GS,HD,DIS,NKE,PG,V,RTX,CAT,PFE,UNH,WMT,VZ,WBA,MSFT,BA,AXP,MCD,CVX,MMM,INTC,KO,TRV,CSCO,JNJ,DD,MRK,XOM
2009-07-01,65.35270690917969,4.361508369445801,24.38616180419922,121.07568359375,17.398845672607422,20.192779541015625,11.188941955566406,34.958274841308594,13.874385833740234,24.11772918701172,23.138072967529297,8.663264274597168,20.862977981567383,35.88577651977539,15.35593318939209,21.03184700012207,18.302236557006836,32.30961227416992,18.965476989746094,40.06189727783203,39.69075393676758,42.37773132324219,11.540544509887695,16.437606811523438,29.926258087158203,13.474452018737793,38.958824157714844,15.891576766967773,16.988771438598633,43.10369110107422
2009-07-02,63.414085388183594,4.275699138641357,23.302974700927734,117.92796325683594,16.738420486450195,19.66750717163086,10.898649215698242,34.35995864868164,13.71008014678955,23.17664337158203,22.127214431762695,8.41907024383545,19.826459884643555,35.45547866821289,15.037055015563965,20.57306480407715,17.792152404785156,31.238479614257812,18.3635196685791,39.532047271728516,38.437740325927734,42.03585433959961,11.323821067810059,16.337329864501953,28.521989822387695,13.259432792663574,38.2147216796875,15.036331176757812,16.3588809967041,41.839176177978516
2009-07-06,63.36419677734375,4.232645034790039,23.54127311706543,120.3689193725586,16.78978157043457,19.88278579711914,11.080078125,35.07257080078125,13.844721794128418,23.481109619140625,22.099332809448242,8.471397399902344,19.9757137298584,35.410953521728516,15.126738548278809,21.153703689575195,17.66272735595703,31.03191375732422,19.394262313842773,39.903629302978516,38.27067565917969,42.328895568847656,11.201918601989746,16.377443313598633,29.06041145324707,13.280936241149902,38.651615142822266,15.145722389221191,16.891855239868164,41.60093688964844
2009-07-07,62.454132080078125,4.134622573852539,23.69292640686035,117.14723205566406,16.437549591064453,19.400564193725586,10.930667877197266,34.897769927978516,13.625650405883789,22.8029727935791,21.116365432739258,8.483025550842285,20.87126922607422,35.49257278442383,14.7680025100708,20.687759399414062,17.15264129638672,29.868974685668945,18.660385131835938,39.08475875854492,37.41146469116211,40.99632263183594,11.005510330200195,16.257112503051758,28.405576705932617,13.07308292388916,38.385398864746094,14.69821548461914,16.728336334228516,40.660186767578125
2009-07-08,62.75954818725586,4.1901984214782715,23.62070655822754,113.86798095703125,16.628345489501953,19.150848388671875,10.99470329284668,35.38854217529297,13.575444221496582,22.918312072753906,21.318538665771484,8.494656562805176,20.45665740966797,35.88577651977539,14.499767303466797,21.332908630371094,17.175479888916016,30.259170532226562,18.734588623046875,39.249916076660156,37.45919418334961,41.17770004272461,10.79555892944336,16.213665008544922,28.427398681640625,12.994241714477539,38.96564483642578,14.638551712036133,16.98270606994629,40.476924896240234
2009-07-09,63.632240295410156,4.163937091827393,24.277841567993164,117.69784545898438,16.643016815185547,19.400564193725586,10.898649215698242,35.233909606933594,13.792230606079102,22.904462814331055,21.367334365844727,8.308594703674316,20.680545806884766,35.67062759399414,14.49470329284668,21.060514450073242,17.084121704101562,30.06789779663086,18.80056381225586,39.064125061035156,37.63819885253906,41.226531982421875,10.849740028381348,16.280515670776367,28.412857055664062,13.02291202545166,38.69940948486328,14.678322792053223,16.3588809967041,40.29975509643555
2009-07-10,62.853031158447266,4.229896545410156,23.353527069091797,116.59654235839844,16.525609970092773,19.2972354888916,10.949878692626953,35.10618591308594,13.659879684448242,22.899850845336914,21.283679962158203,8.256266593933105,20.45665740966797,35.29227066040039,14.484587669372559,20.67342185974121,17.046058654785156,30.335678100585938,19.146881103515625,39.256778717041016,36.63579559326172,41.71492385864258,10.863286018371582,16.146820068359375,28.376466751098633,13.14475154876709,38.86323547363281,14.578878402709961,16.019712448120117,39.7805061340332
2009-07-13,64.5921859741211,4.3465447425842285,25.064956665039062,122.8179931640625,16.958559036254883,19.546953201293945,11.001110076904297,35.61709976196289,13.771693229675293,23.72099494934082,22.169042587280273,8.581868171691895,20.738590240478516,35.48516082763672,14.7022066116333,21.017505645751953,17.68556785583496,30.94009780883789,20.218841552734375,39.408180236816406,37.256317138671875,42.20330047607422,11.168051719665527,16.394153594970703,29.39511489868164,13.309599876403809,39.40253829956055,15.205399513244629,16.243804931640625,40.13483810424805
2009-07-14,64.361572265625,4.3444061279296875,25.057750701904297,122.99876403808594,17.3768367767334,19.900005340576172,11.077949523925781,35.993587493896484,13.758003234863281,23.79481315612793,22.259674072265625,8.663264274597168,20.539587020874023,35.70772171020508,14.651601791381836,21.074851989746094,17.594207763671875,30.917150497436523,20.16936683654785,39.53892135620117,37.590457916259766,42.300987243652344,11.39831829071045,16.474369049072266,28.76938247680664,13.424275398254395,39.75069046020508,15.294892311096191,16.449731826782227,40.452476501464844
2009-07-15,66.83629608154297,4.485180377960205,26.184246063232422,127.6011734008789,17.67037010192871,20.735275268554688,11.297797203063965,36.73980712890625,14.296548843383789,24.795873641967773,23.591217041015625,8.733039855957031,20.655672073364258,36.01933288574219,14.848976135253906,21.497783660888672,18.36315155029297,31.64398956298828,22.445222854614258,39.27743911743164,38.527244567871094,43.25682830810547,12.224579811096191,16.888813018798828,29.35873794555664,14.198344230651855,40.249027252197266,16.45842170715332,16.782840728759766,41.80863952636719
