,date,daily_return
0,2016-07-05,0.0
1,2016-07-06,0.004310739383889629
2,2016-07-07,-0.0013538987203524193
3,2016-07-08,0.0153109400649611
4,2016-07-11,0.004244312559968911
5,2016-07-12,0.007396074836325642
6,2016-07-13,0.002044932974473648
7,2016-07-14,0.008405925134914513
8,2016-07-15,0.00029893277808012183
9,2016-07-18,0.0006383026627673152
10,2016-07-19,-0.000592112359996397
11,2016-07-20,0.0029279083841280856
12,2016-07-21,-0.004996563798304878
13,2016-07-22,0.0035755810456919
14,2016-07-25,-0.00356027789841177
15,2016-07-26,-0.0005977160039912071
16,2016-07-27,-0.00044321427847600185
17,2016-07-28,-0.0012184600229850548
18,2016-07-29,0.00016408224792871187
19,2016-08-01,-0.00041535558669827987
20,2016-08-02,-0.005618403019519717
21,2016-08-03,0.0021070312198411124
22,2016-08-04,0.00039889383110430684
23,2016-08-05,0.01040474952387394
24,2016-08-08,0.0001757875077634681
25,2016-08-09,0.00020824164508167784
26,2016-08-10,-0.0010979545202655227
27,2016-08-11,0.006373113082698839
28,2016-08-12,-0.0021277212286925314
29,2016-08-15,0.003094214686420844
30,2016-08-16,-0.004393774196659931
31,2016-08-17,0.0022715383690099763
32,2016-08-18,0.0015652328122272878
33,2016-08-19,-0.0018315302850948564
34,2016-08-22,-0.0008144050059967183
35,2016-08-23,0.0011575760964164274
36,2016-08-24,-0.0035484963787856287
37,2016-08-25,-0.0025030096111644364
38,2016-08-26,-0.0027799417351286066
39,2016-08-29,0.0062909689761683
40,2016-08-30,-0.0024704543886490235
41,2016-08-31,-0.0025976337786291306
42,2016-09-01,0.0021723715335314883
43,2016-09-02,0.0038310426378077747
44,2016-09-06,0.0032073868438636743
45,2016-09-07,0.0004663311291440847
46,2016-09-08,-0.0018341904684652164
47,2016-09-09,-0.021030497678401046
48,2016-09-12,0.01331098041183911
49,2016-09-13,-0.012444533762617062
50,2016-09-14,-0.001704712401515763
51,2016-09-15,0.010117022536615275
52,2016-09-16,-0.004980944130448454
53,2016-09-19,-0.0005559477717802153
54,2016-09-20,0.0004567936380575128
55,2016-09-21,0.007863766265452751
56,2016-09-22,0.0056739169963883505
57,2016-09-23,-0.006135112572237244
58,2016-09-26,-0.009240250105697819
59,2016-09-27,0.007989735027294102
60,2016-09-28,0.003840852432566893
61,2016-09-29,-0.011585649922138562
62,2016-09-30,0.009162715243589319
63,2016-10-03,-0.0034150716120941787
64,2016-10-04,-0.003613917026034078
65,2016-10-05,0.005539893926745684
66,2016-10-06,-0.0010117250150941028
67,2016-10-07,-0.001995686687077886
68,2016-10-10,0.004943643028060344
69,2016-10-11,-0.011167481689337988
70,2016-10-12,0.0003414161143479032
71,2016-10-13,-0.0021822613747520528
72,2016-10-14,0.001991558465897188
73,2016-10-17,-0.0034207942057068114
74,2016-10-18,0.004976851783023951
75,2016-10-19,0.0013700081700602194
76,2016-10-20,0.0033315909049888657
77,2016-10-21,0.0003028071317538949
78,2016-10-24,0.00392899156666423
79,2016-10-25,-0.0006543196197423543
80,2016-10-26,0.000495269576804563
81,2016-10-27,-0.0008470253766449852
82,2016-10-28,-0.00011863833731587284
83,2016-10-31,-0.0011887811853063981
84,2016-11-01,-0.0048167105170462115
85,2016-11-02,-0.005210236202870533
86,2016-11-03,-0.002653434821601502
87,2016-11-04,-0.0021070351465150754
88,2016-11-07,0.020049922543717014
89,2016-11-08,0.0043460244591815595
90,2016-11-09,0.013294550135792976
91,2016-11-10,0.006535489501518849
92,2016-11-11,0.0020214623091634938
93,2016-11-14,-0.0008422845554650459
94,2016-11-15,0.0051297226350791375
95,2016-11-16,-0.0019423491178996223
96,2016-11-17,0.0006877194350657158
97,2016-11-18,-0.002491171505560268
98,2016-11-21,0.006144296827837088
99,2016-11-22,0.0031573374918228434
100,2016-11-23,0.0021559138428237806
101,2016-11-25,0.003903077910461046
102,2016-11-28,-0.0014162838924213312
103,2016-11-29,0.0010553905630412525
104,2016-11-30,-0.001590569853405778
105,2016-12-01,-0.0007452843740364524
106,2016-12-02,0.0005157198989282301
107,2016-12-05,0.0037709651880146636
108,2016-12-06,0.0014366510786238589
109,2016-12-07,0.014477516445291733
110,2016-12-08,0.0023277886166575518
111,2016-12-09,0.008964850296708664
112,2016-12-12,0.0037915303613408804
113,2016-12-13,0.006946584797351377
114,2016-12-14,-0.007405193029871202
115,2016-12-15,0.0033513397489675564
116,2016-12-16,9.578672707020724e-05
117,2016-12-19,0.002084590938842132
118,2016-12-20,0.003657244889476527
119,2016-12-21,-0.002058139077922863
120,2016-12-22,-0.0020706028365562626
121,2016-12-23,0.0007205112970649183
122,2016-12-27,0.0008596583376158172
123,2016-12-28,-0.005644571287994828
124,2016-12-29,-0.0006681912479302234
125,2016-12-30,-0.0036721894354834563
126,2017-01-03,0.008233132633434786
127,2017-01-04,0.0019042563003192302
128,2017-01-05,-0.00055495119816592
129,2017-01-06,0.0015520339295282742
130,2017-01-09,-0.0034395325078821906
131,2017-01-10,-0.001479021779759232
132,2017-01-11,0.0047079275819032025
133,2017-01-12,-0.003819569480606521
134,2017-01-13,-0.0004900313691629372
135,2017-01-17,-0.0015952554406651813
136,2017-01-18,1.064980500310454e-05
137,2017-01-19,-0.004666641496154662
138,2017-01-20,0.005057902071994266
139,2017-01-23,-0.0023919703859762095
140,2017-01-24,0.0043626318598690835
141,2017-01-25,0.006144950294189278
142,2017-01-26,-1.8146593593069147e-05
143,2017-01-27,0.0017006110245238164
144,2017-01-30,-0.004956294889727243
145,2017-01-31,-0.0034739351531247672
