,date,daily_return
0,2016-07-05,0.0
1,2016-07-06,0.004675475990177797
2,2016-07-07,-0.0015257312069073415
3,2016-07-08,0.014160842374092528
4,2016-07-11,0.004122415447340595
5,2016-07-12,0.006296878505058106
6,2016-07-13,0.0018467916344746484
7,2016-07-14,0.006738837848713879
8,2016-07-15,0.0001404367738799271
9,2016-07-18,0.0005092831922052813
10,2016-07-19,-7.721957064492477e-05
11,2016-07-20,0.004063075309551484
12,2016-07-21,-0.004571202668699495
13,2016-07-22,0.003984004343959005
14,2016-07-25,-0.003524232004510825
15,2016-07-26,-0.0011265521897106698
16,2016-07-27,-0.0015088997265815607
17,2016-07-28,-0.000800252156068038
18,2016-07-29,8.80692354634818e-05
19,2016-08-01,-0.0008154395502040553
20,2016-08-02,-0.005255657955721209
21,2016-08-03,0.0013281042378753731
22,2016-08-04,0.0006294899925427674
23,2016-08-05,0.012501098950407455
24,2016-08-08,-0.0015158625963388654
25,2016-08-09,7.435863128886681e-05
26,2016-08-10,-0.0006171258072653124
27,2016-08-11,0.006134111265753863
28,2016-08-12,-0.002346215219716539
29,2016-08-15,0.0031269439168790628
30,2016-08-16,-0.004613554896240613
31,2016-08-17,0.0022007797169639703
32,2016-08-18,0.0015832875500169357
33,2016-08-19,-0.001885428172324359
34,2016-08-22,-0.0009689144298078603
35,2016-08-23,0.0019001718038955632
36,2016-08-24,-0.0035146218298806936
37,2016-08-25,-0.0018360771349413755
38,2016-08-26,-0.002397629612802263
39,2016-08-29,0.006365734803790645
40,2016-08-30,-0.0016939510840641625
41,2016-08-31,-0.0021308243892892956
42,2016-09-01,0.0016233719005779548
43,2016-09-02,0.0038853725820451827
44,2016-09-06,0.0028477340293507564
45,2016-09-07,-0.0004885931374614254
46,2016-09-08,-0.0013646618207975355
47,2016-09-09,-0.020811109946500355
48,2016-09-12,0.013175639917951227
49,2016-09-13,-0.014616244971166422
50,2016-09-14,-0.002839801620205255
51,2016-09-15,0.010093723284730923
52,2016-09-16,-0.0032215758208451527
53,2016-09-19,-0.0013609089045498065
54,2016-09-20,0.0002058022041657952
55,2016-09-21,0.008303692447753582
56,2016-09-22,0.005574687924698967
57,2016-09-23,-0.005966133758950376
58,2016-09-26,-0.0100273947774277
59,2016-09-27,0.007755151884162731
60,2016-09-28,0.006299892523770329
61,2016-09-29,-0.01086880283629155
62,2016-09-30,0.009812707434576184
63,2016-10-03,-0.0029193009296693937
64,2016-10-04,-0.0038830601385223774
65,2016-10-05,0.006051215188586978
66,2016-10-06,-0.002719425171506993
67,2016-10-07,-0.0015512981608591543
68,2016-10-10,0.00429555259730881
69,2016-10-11,-0.011669595998983234
70,2016-10-12,-0.0008196479303754359
71,2016-10-13,-0.0027425891044406798
72,2016-10-14,0.0019141265891591242
73,2016-10-17,-0.003191323164799547
74,2016-10-18,0.0053485798596898
75,2016-10-19,0.00012551690661529748
76,2016-10-20,0.0006790318559342303
77,2016-10-21,-0.0012454648187045494
78,2016-10-24,0.003653831774287356
79,2016-10-25,-0.0022462400703687777
80,2016-10-26,0.0011129387741851795
81,2016-10-27,-0.0006922421296255988
82,2016-10-28,-0.002016479091219131
83,2016-10-31,-0.0012292074520795638
84,2016-11-01,-0.0052339260654707415
85,2016-11-02,-0.004656671239055247
86,2016-11-03,-0.002305752466079826
87,2016-11-04,-0.0030382618870719792
88,2016-11-07,0.02029697224799508
89,2016-11-08,0.004220520015086709
90,2016-11-09,0.01584609523411036
91,2016-11-10,0.009613547225097075
92,2016-11-11,0.0011202524702883664
93,2016-11-14,0.0005007186776724027
94,2016-11-15,0.005023076414904829
95,2016-11-16,-0.0018740917187251836
96,2016-11-17,-0.00011828193362694418
97,2016-11-18,-0.0029974862319107174
98,2016-11-21,0.005035272272456267
99,2016-11-22,0.0031907085088983696
100,2016-11-23,0.0031297978488998754
101,2016-11-25,0.004357710519940271
102,2016-11-28,-0.00276182359961605
103,2016-11-29,0.0015149551907312278
104,2016-11-30,-0.00042717487663166266
105,2016-12-01,0.0012877969874613932
106,2016-12-02,-0.00022154744352783322
107,2016-12-05,0.0027138162368281218
108,2016-12-06,0.001723708921481282
109,2016-12-07,0.014871821836790425
110,2016-12-08,0.002113645476536917
111,2016-12-09,0.008183152599292774
112,2016-12-12,0.0038174617505125517
113,2016-12-13,0.006611341732498286
114,2016-12-14,-0.005851706999925765
115,2016-12-15,0.003534970983957168
116,2016-12-16,0.0002026555115703907
117,2016-12-19,0.0015442591496162353
118,2016-12-20,0.0035993198202045593
119,2016-12-21,-0.0026943373772571055
120,2016-12-22,-0.0012497826280998283
121,2016-12-23,0.000981673990435086
122,2016-12-27,0.0005265911469267639
123,2016-12-28,-0.005838410175323031
124,2016-12-29,-0.0003724357370377384
125,2016-12-30,-0.0027927212264530865
126,2017-01-03,0.007746879088192832
127,2017-01-04,0.003126633462020762
128,2017-01-05,-0.002151541559780237
129,2017-01-06,0.0013361295119204651
130,2017-01-09,-0.0029376469341305016
131,2017-01-10,-0.0019298200689962287
132,2017-01-11,0.005228137137337173
133,2017-01-12,-0.0032749938162257497
134,2017-01-13,-0.0003425432299417027
135,2017-01-17,-0.001920132296451077
136,2017-01-18,-0.0008864228572622501
137,2017-01-19,-0.0049379653876911265
138,2017-01-20,0.006208683994089494
139,2017-01-23,-0.001683201635171651
140,2017-01-24,0.00571746782020897
141,2017-01-25,0.005060026165095332
142,2017-01-26,0.0006004173701731211
143,2017-01-27,0.0004686318103300513
144,2017-01-30,-0.00505683555139152
145,2017-01-31,-0.0035319393692981285
