,date,daily_return
0,2016-07-05,0.0
1,2016-07-06,0.003320538169102696
2,2016-07-07,-0.0018508537692444758
3,2016-07-08,0.01595127958705846
4,2016-07-11,0.004231156353309588
5,2016-07-12,0.005395237010113928
6,2016-07-13,0.001652233721429428
7,2016-07-14,0.007462155058238439
8,2016-07-15,-0.00042656164769420794
9,2016-07-18,0.001158212622839196
10,2016-07-19,-0.0004813927610638475
11,2016-07-20,0.003997383653784257
12,2016-07-21,-0.0051432749909882105
13,2016-07-22,0.0039925995053794825
14,2016-07-25,-0.0034277617572565375
15,2016-07-26,0.0011873603685033994
16,2016-07-27,-0.00022868298475005094
17,2016-07-28,-0.0013753329607871564
18,2016-07-29,-0.0007750522838708576
19,2016-08-01,-0.0024902619332529516
20,2016-08-02,-0.005627353655555741
21,2016-08-03,0.0032675766442486803
22,2016-08-04,0.0007011409144016672
23,2016-08-05,0.01014238967427027
24,2016-08-08,-0.00022264105335412574
25,2016-08-09,3.573158112964733e-05
26,2016-08-10,-0.0012385144312944654
27,2016-08-11,0.005857050602635532
28,2016-08-12,-0.00250447314643384
29,2016-08-15,0.004070347060309577
30,2016-08-16,-0.0041644860205773465
31,2016-08-17,0.0024978862691783133
32,2016-08-18,0.0008476074499316517
33,2016-08-19,-0.0025223723255436165
34,2016-08-22,-0.0008854190810346224
35,2016-08-23,0.0009519538428257177
36,2016-08-24,-0.0036998602660775733
37,2016-08-25,-0.0021680024289175057
38,2016-08-26,-0.002391076259299469
39,2016-08-29,0.006101669713186817
40,2016-08-30,-0.002244245562548762
41,2016-08-31,-0.0021709714516816012
42,2016-09-01,0.0014064027180440853
43,2016-09-02,0.003833080076286577
44,2016-09-06,0.0016175859300502464
45,2016-09-07,0.00048059384030821903
46,2016-09-08,-0.0022473982448311886
47,2016-09-09,-0.02217186081528924
48,2016-09-12,0.01336449807568162
49,2016-09-13,-0.012535136763061469
50,2016-09-14,-0.0028942646247304598
51,2016-09-15,0.009922830454544332
52,2016-09-16,-0.002662210969123041
53,2016-09-19,-0.0018193412530675638
54,2016-09-20,0.0008631918931928204
55,2016-09-21,0.007306316575667604
56,2016-09-22,0.005142340478121827
57,2016-09-23,-0.006121830575082255
58,2016-09-26,-0.009927959988799522
59,2016-09-27,0.007887631188083609
60,2016-09-28,0.005787904404772006
61,2016-09-29,-0.009700739267685965
62,2016-09-30,0.009777855817478812
63,2016-10-03,-0.002263155717581861
64,2016-10-04,-0.0033048039457731666
65,2016-10-05,0.005958515639047114
66,2016-10-06,-0.0009218121944435673
67,2016-10-07,-0.0012750973838866718
68,2016-10-10,0.004334924346586297
69,2016-10-11,-0.01090713304766565
70,2016-10-12,0.00020697561595696382
71,2016-10-13,-0.0028725908612466846
72,2016-10-14,0.0014696334950130582
73,2016-10-17,-0.0029404153440784875
74,2016-10-18,0.0031406500843433613
75,2016-10-19,1.7181703994745715e-05
76,2016-10-20,0.0008826490676309235
77,2016-10-21,-0.00042947825675879035
78,2016-10-24,0.005088696794947797
79,2016-10-25,-0.0026511054879873462
80,2016-10-26,0.003181861806416118
81,2016-10-27,-0.0014102632629190484
82,2016-10-28,-0.0005166017718067227
83,2016-10-31,-5.931134262349044e-05
84,2016-11-01,-0.005101653998741728
85,2016-11-02,-0.005088713135934276
86,2016-11-03,-0.001759570002321042
87,2016-11-04,-0.00250445237010762
88,2016-11-07,0.020198224272651305
89,2016-11-08,0.004062289044172195
90,2016-11-09,0.01384707887585245
91,2016-11-10,0.005989432849838483
92,2016-11-11,0.002270434715198941
93,2016-11-14,0.0007279692815069932
94,2016-11-15,0.005393766084858392
95,2016-11-16,0.00023952009740709504
96,2016-11-17,-0.00030532100589727193
97,2016-11-18,-0.001944505668613309
98,2016-11-21,0.006043080643179504
99,2016-11-22,0.0015174577426549528
100,2016-11-23,0.0020244726643733383
101,2016-11-25,0.0042376743119270635
102,2016-11-28,-0.0015921306670380136
103,2016-11-29,0.00014329473667855846
104,2016-11-30,-0.0021738562365402852
105,2016-12-01,0.0013777934527533068
106,2016-12-02,-0.0009790479871041571
107,2016-12-05,0.003841483579706894
108,2016-12-06,0.0011836261637407724
109,2016-12-07,0.014982758115765415
110,2016-12-08,0.0010101143501178905
111,2016-12-09,0.008258588865596963
112,2016-12-12,0.0021785994960901865
113,2016-12-13,0.006732514399912221
114,2016-12-14,-0.0069341129005969036
115,2016-12-15,0.003118944235229165
116,2016-12-16,-0.0012206114982897523
117,2016-12-19,0.0010419864780332607
118,2016-12-20,0.003537527794095258
119,2016-12-21,-0.0017930003093152476
120,2016-12-22,-0.0015401037882005052
121,2016-12-23,0.0010674386687208196
122,2016-12-27,0.0008455264955469112
123,2016-12-28,-0.005804490328042988
124,2016-12-29,0.00013163619472544857
125,2016-12-30,-0.0036351472072817846
126,2017-01-03,0.008509846603528194
127,2017-01-04,0.0025676705672490257
128,2017-01-05,-0.000605141163931887
129,2017-01-06,0.002181917211199108
130,2017-01-09,-0.002818850722636
131,2017-01-10,-0.001112856797378846
132,2017-01-11,0.004058623830672229
133,2017-01-12,-0.0029908873677102718
134,2017-01-13,0.00023298877180457015
135,2017-01-17,-0.0004084711812532904
136,2017-01-18,-0.0007060325347264285
137,2017-01-19,-0.004294628852263495
138,2017-01-20,0.004366024998334019
139,2017-01-23,-0.002028471237978146
140,2017-01-24,0.00613700259253751
141,2017-01-25,0.007053016736174677
142,2017-01-26,0.00010746386879649546
143,2017-01-27,0.0016052869032728504
144,2017-01-30,-0.005455888865910927
145,2017-01-31,-0.0032515194450194883
146,2017-02-01,0.000666922563755615
